imdb_ids,Act_Adven_West,Mus_Bio_His_War_Doc,Sh_Ani_Fam,Fant_SF,Mys_Cri_Hor_Thr,Romance,Drama,Comedy,Other
154420,0,0,0,0,0,0,1,0,0.0
87843,0,0,0,0,1,0,1,0,0.0
116692,0,1,0,0,0,0,1,0,0.0
59170,1,0,0,0,1,0,0,1,0.0
304126,0,0,0,0,0,0,1,1,0.0
464029,0,1,0,0,0,0,1,0,0.0
108399,1,0,0,0,1,1,1,0,0.0
278504,0,0,0,0,1,0,1,0,0.0
417148,1,0,0,0,1,0,1,0,0.0
107290,1,0,0,1,1,0,0,0,0.0
119567,1,0,0,1,0,0,0,0,0.0
163025,1,0,0,1,1,0,0,0,0.0
303785,0,1,0,0,0,1,1,1,0.0
175880,0,0,0,0,0,0,1,0,0.0
67140,1,1,0,0,0,0,0,0,0.0
329388,0,0,0,0,0,0,1,1,0.0
301357,0,0,0,0,0,1,1,1,0.0
404030,0,0,0,0,0,0,1,1,0.0
120663,0,0,0,0,1,0,1,0,0.0
78748,1,0,0,1,1,0,0,0,0.0
416213,0,0,0,0,0,1,1,0,0.0
103776,1,0,0,1,1,0,0,0,0.0
93822,0,0,0,0,1,0,0,1,0.0
89537,0,0,0,0,0,0,1,0,0.0
82096,1,1,0,0,1,0,1,0,0.0
454848,0,0,0,0,1,0,1,0,0.0
110361,0,1,0,0,1,0,1,0,1.0
58461,1,0,0,0,0,0,0,0,0.0
370263,1,0,0,1,1,0,0,0,0.0
61184,0,0,0,0,0,0,1,0,0.0
114660,0,0,0,0,1,0,1,0,0.0
47528,0,0,0,0,0,0,1,0,0.0
113247,0,0,0,0,1,0,1,0,0.0
162426,0,0,0,0,1,0,1,0,0.0
29583,0,1,1,1,0,1,0,0,0.0
116209,0,1,0,0,0,1,1,0,0.0
383041,0,1,0,1,0,1,1,1,0.0
268380,1,0,1,1,0,0,0,1,0.0
50706,0,0,0,0,0,0,0,1,0.0
806679,0,0,0,0,0,1,1,0,0.0
475317,0,0,0,0,1,0,1,0,0.0
319262,1,0,0,1,1,0,0,0,0.0
285492,0,0,0,1,1,0,0,0,0.0
314524,0,0,0,0,0,0,1,1,0.0
387898,0,0,0,0,1,0,1,0,0.0
113627,0,0,0,0,0,1,1,0,0.0
268978,0,1,0,0,0,1,1,0,0.0
48624,0,1,0,0,0,1,1,1,0.0
49762,0,1,0,0,0,1,1,1,0.0
416331,0,0,0,0,0,0,0,1,1.0
382330,0,1,0,0,0,1,1,1,0.0
94596,0,0,0,0,0,1,1,0,1.0
67309,0,0,0,0,1,0,0,0,0.0
102494,0,0,0,0,0,1,1,0,0.0
129774,0,0,0,0,0,0,1,0,0.0
138704,0,0,0,1,1,0,1,0,0.0
61418,1,1,0,0,1,0,1,0,0.0
97240,0,0,0,0,1,0,1,0,0.0
162650,1,0,0,0,1,0,0,0,0.0
67741,1,0,0,0,1,0,0,0,0.0
100935,0,0,0,0,1,0,1,1,0.0
43265,1,1,0,0,0,1,1,0,0.0
50976,0,0,0,1,0,0,1,0,0.0
301343,0,0,0,0,0,0,1,0,0.0
120601,0,0,0,1,0,0,1,1,0.0
69257,1,0,0,0,1,0,1,0,0.0
70679,1,0,0,0,1,0,1,0,0.0
409182,1,0,0,0,1,0,1,0,0.0
72446,0,0,0,0,0,0,1,0,0.0
457513,0,0,0,0,1,0,0,1,0.0
46912,0,0,0,0,1,0,0,0,1.0
112641,0,0,0,0,1,0,1,0,0.0
89457,1,0,0,1,0,1,1,1,0.0
104361,1,0,1,1,0,0,0,1,0.0
112691,0,0,1,1,1,0,0,1,0.0
438488,1,0,0,1,1,0,1,0,0.0
85549,0,1,0,0,0,1,1,0,0.0
485662,0,1,0,0,0,0,0,0,0.0
48347,0,0,0,0,1,1,1,0,0.0
129387,0,0,0,0,0,1,0,1,0.0
407265,1,0,0,0,0,0,1,1,0.0
119314,1,0,0,0,0,1,1,0,0.0
42876,0,0,0,0,1,0,1,0,0.0
69113,1,0,0,0,1,0,1,0,0.0
237539,0,0,0,0,0,1,1,1,0.0
276919,0,0,0,0,1,0,1,0,0.0
308476,0,1,0,0,0,1,1,1,0.0
145487,1,0,0,1,0,0,0,0,0.0
316654,1,0,0,1,0,0,0,0,0.0
413300,1,0,0,1,0,0,0,0,0.0
95016,1,0,0,0,1,0,0,0,0.0
120201,1,0,0,1,1,0,0,0,0.0
56869,0,0,0,0,1,1,1,0,0.0
49470,1,0,0,0,1,0,1,0,0.0
65214,1,0,0,0,0,0,0,0,0.0
114681,0,0,0,1,1,0,1,1,0.0
73195,1,0,0,0,1,0,1,0,0.0
322259,1,0,0,0,1,0,0,0,0.0
198781,1,0,1,1,0,0,0,1,0.0
384537,1,0,0,0,1,0,0,0,0.0
382625,0,0,0,0,1,0,0,0,0.0
362227,0,0,0,0,0,1,1,1,0.0
32551,0,1,0,0,0,0,1,0,0.0
43014,0,0,0,0,0,1,1,0,1.0
116629,1,0,0,1,0,0,0,0,0.0
242653,1,0,0,1,1,0,0,0,0.0
119654,1,0,1,1,1,0,0,1,0.0
325710,1,1,0,0,0,0,1,0,0.0
4972,0,1,0,0,0,1,1,0,0.0
103855,1,1,0,0,1,1,1,0,0.0
95159,0,0,0,0,1,0,0,1,0.0
64276,1,0,0,0,0,0,1,0,0.0
117951,0,0,0,0,1,0,1,0,0.0
110148,0,0,0,1,1,1,1,0,0.0
76734,0,1,0,0,1,1,1,0,0.0
92563,0,0,0,0,1,0,0,0,0.0
98635,0,0,0,0,0,1,1,1,0.0
15648,0,1,0,0,0,0,1,0,0.0
55928,1,0,0,0,1,0,0,0,0.0
101507,0,0,0,0,1,0,1,0,0.0
13442,0,0,0,1,1,0,0,0,0.0
47296,0,0,0,0,1,0,1,0,0.0
78875,0,1,0,0,0,0,1,0,0.0
56119,0,0,1,1,0,1,1,0,0.0
117998,1,0,0,0,1,0,1,0,0.0
13427,0,1,0,0,0,0,0,0,0.0
364569,1,0,0,0,1,0,1,0,0.0
241527,1,0,1,1,0,0,0,0,0.0
295297,1,0,1,1,1,0,0,0,0.0
330373,1,0,1,1,1,0,0,0,0.0
373889,1,0,1,1,1,0,0,0,0.0
39689,0,0,0,0,1,1,1,0,1.0
110912,0,0,0,0,1,0,1,0,0.0
112579,0,0,0,0,0,1,1,0,0.0
53168,0,0,0,0,1,0,1,0,0.0
76752,1,0,0,0,1,0,0,0,0.0
69089,0,0,0,0,1,0,0,1,0.0
108122,0,0,0,0,0,0,1,1,0.0
18217,0,1,0,0,0,0,1,0,0.0
75686,0,0,0,0,0,1,1,1,0.0
42192,0,0,0,0,0,0,1,1,0.0
71458,0,1,0,0,0,0,1,0,0.0
93428,1,0,0,0,1,0,0,0,0.0
113189,1,0,0,0,1,0,0,0,0.0
109831,0,0,0,0,0,1,1,1,0.0
120347,1,0,0,0,1,0,0,0,0.0
203166,0,0,0,0,0,1,1,1,0.0
129659,0,0,0,0,1,1,0,1,0.0
92099,1,1,0,0,0,1,1,0,0.0
93389,0,1,0,0,0,0,1,0,0.0
55205,0,0,0,0,1,0,1,1,0.0
434409,1,0,0,1,1,0,1,0,0.0
58383,0,0,0,0,1,0,1,1,0.0
106308,0,0,0,1,1,0,0,1,0.0
417741,1,0,1,1,1,0,0,0,0.0
99785,0,0,1,0,0,0,0,1,0.0
104431,1,0,1,0,1,0,0,1,0.0
449059,0,0,0,0,0,0,1,1,0.0
10,0,1,1,0,0,0,0,0,0.0
46487,0,0,1,0,0,0,0,1,0.0
23649,0,0,0,1,1,0,1,0,0.0
23104,0,0,0,0,0,0,1,0,0.0
181875,1,1,0,0,0,0,1,1,0.0
107614,0,0,1,0,0,0,1,1,0.0
60802,0,1,0,0,0,0,1,1,0.0
91763,1,1,0,0,0,0,1,0,0.0
120632,0,0,0,1,0,1,1,0,0.0
46218,0,0,1,0,0,0,1,1,0.0
56193,0,0,0,0,1,1,1,0,0.0
63522,0,0,0,0,1,0,1,0,0.0
298148,1,0,1,1,0,1,0,1,0.0
67756,1,0,0,1,0,0,1,0,0.0
204824,0,0,1,0,0,0,1,1,0.0
117665,0,0,0,0,1,0,1,0,0.0
51792,0,1,0,0,0,0,1,0,0.0
46911,0,0,0,0,1,0,1,0,0.0
43456,0,0,0,1,1,0,1,0,0.0
71315,0,0,0,0,1,0,1,0,0.0
47577,1,0,0,1,1,0,0,0,0.0
22100,1,0,0,0,1,0,1,0,0.0
401855,1,0,0,1,1,0,0,0,0.0
22869,0,0,0,1,0,0,0,0,0.0
86541,0,0,0,1,1,0,0,0,0.0
67023,1,0,0,0,1,0,0,0,0.0
75860,0,0,0,1,0,0,1,0,0.0
212712,0,0,0,1,0,1,1,0,0.0
44079,0,0,0,0,1,0,0,0,1.0
120902,0,0,0,1,1,0,1,0,0.0
96446,1,0,0,1,0,1,1,0,0.0
37558,0,0,0,0,0,1,1,0,0.0
51588,0,0,0,0,1,0,1,0,0.0
215750,0,1,0,0,0,0,1,0,0.0
265086,1,1,0,0,0,0,1,0,0.0
120815,0,1,0,0,0,0,1,0,0.0
86567,0,0,0,1,1,0,0,0,0.0
100802,1,0,0,1,1,0,0,0,0.0
114709,1,0,1,1,0,0,0,1,0.0
308644,0,1,1,0,0,0,1,0,0.0
330229,0,0,0,0,0,1,1,0,0.0
45152,0,1,0,0,0,1,0,1,0.0
142032,1,0,0,1,0,0,1,0,0.0
102057,1,0,1,1,0,0,0,1,0.0
112379,0,0,0,0,0,0,1,1,0.0
87273,1,0,1,0,0,0,0,0,0.0
115964,0,0,0,0,1,1,1,0,0.0
59037,0,0,0,0,0,0,1,0,0.0
74119,0,1,0,0,1,0,1,0,0.0
246859,0,1,0,0,1,0,1,0,0.0
52572,0,0,0,0,0,0,1,0,0.0
48956,0,0,0,0,0,0,1,0,0.0
61512,0,0,0,0,1,0,1,0,0.0
18737,0,0,0,0,1,1,1,0,0.0
20842,0,1,0,0,0,1,1,1,0.0
59113,0,1,0,0,0,1,1,0,0.0
37059,0,1,1,0,0,1,1,1,0.0
38355,0,0,0,0,1,0,1,0,1.0
63688,0,0,0,0,1,1,1,0,0.0
92666,0,0,0,0,0,1,0,1,0.0
77402,0,0,0,0,1,0,0,0,0.0
87363,0,0,0,1,1,0,0,1,0.0
99700,0,0,0,1,1,0,0,1,0.0
120685,1,0,0,1,1,0,0,0,0.0
38769,0,1,0,0,1,1,1,0,0.0
61756,0,1,0,0,0,0,0,1,0.0
48021,1,0,0,0,1,0,1,0,0.0
57012,0,1,0,0,0,0,1,1,0.0
57413,0,0,0,0,1,1,0,1,0.0
59578,1,0,0,0,0,0,0,0,0.0
18037,0,1,0,0,0,1,1,0,0.0
104714,1,0,0,0,1,0,0,1,0.0
40536,0,0,0,0,0,1,1,0,0.0
113277,1,0,0,0,1,0,1,0,0.0
99938,0,0,0,0,0,0,0,1,0.0
351283,1,0,1,0,0,0,0,1,0.0
117060,1,0,0,0,1,0,0,0,0.0
17925,1,1,0,0,0,0,1,1,0.0
15864,1,0,1,0,0,0,1,1,0.0
16220,0,0,0,0,1,0,1,0,0.0
54047,1,0,0,0,0,0,0,0,0.0
72890,0,1,0,0,1,0,1,0,0.0
51036,0,0,0,0,0,0,1,0,1.0
22458,1,0,0,0,0,1,1,0,0.0
120102,1,1,0,0,0,0,1,0,0.0
290673,0,0,0,0,1,1,1,0,0.0
73341,1,0,0,0,0,0,1,0,0.0
59012,0,1,0,0,0,0,1,1,0.0
71524,0,0,0,0,0,1,1,1,0.0
74851,0,0,0,1,0,0,1,0,0.0
15324,1,0,0,1,1,1,1,1,0.0
67800,0,0,0,0,1,0,1,0,0.0
31971,1,0,0,0,0,0,0,0,0.0
166924,0,0,0,0,1,0,1,0,0.0
418455,0,0,0,0,1,0,1,1,0.0
141824,0,0,0,0,1,0,1,0,1.0
67116,1,0,0,0,1,0,1,0,0.0
85276,1,0,0,0,1,1,1,0,0.0
118843,0,0,0,0,1,1,0,1,0.0
298228,0,0,1,0,0,0,1,0,0.0
84787,0,0,0,1,1,0,0,0,0.0
373861,0,1,1,0,0,0,1,0,0.0
482571,0,0,0,1,1,0,1,0,0.0
385017,0,0,0,0,1,0,1,0,0.0
436697,0,1,0,0,0,0,1,0,0.0
479143,0,0,0,0,0,0,1,0,1.0
367959,0,0,0,0,1,0,1,0,0.0
427969,0,1,0,0,1,1,1,0,0.0
443456,0,0,0,0,0,1,1,0,0.0
465551,0,0,0,0,1,1,1,0,0.0
449080,0,0,0,0,0,0,0,1,0.0
421073,1,0,0,0,1,0,1,0,0.0
396555,1,0,1,1,0,0,0,1,0.0
448134,1,0,0,1,1,0,0,0,0.0
397619,0,0,0,0,0,0,1,0,0.0
118689,1,0,1,0,0,0,0,1,0.0
275309,0,1,0,0,0,0,0,0,1.0
120868,0,0,0,0,1,0,0,1,0.0
444505,0,0,0,0,1,0,0,1,0.0
461694,0,1,0,0,0,0,1,0,0.0
79802,1,1,1,1,0,0,0,0,0.0
77687,1,1,1,1,0,0,0,0,0.0
120699,1,0,0,0,0,1,1,0,0.0
285742,0,0,0,0,0,1,1,0,0.0
75148,0,0,0,0,0,0,1,0,1.0
79817,0,0,0,0,0,0,1,0,1.0
251052,0,0,0,1,0,0,1,0,0.0
51745,0,0,1,0,0,1,1,1,0.0
367027,0,0,0,0,0,1,1,1,0.0
97438,1,0,0,0,1,0,1,0,0.0
414993,1,0,0,1,0,1,1,0,0.0
169173,1,0,1,0,0,1,0,0,0.0
94075,0,1,1,0,0,0,1,0,0.0
94300,0,1,1,0,0,0,0,0,0.0
120780,0,0,0,0,1,1,1,1,0.0
79944,0,0,0,1,1,0,1,0,0.0
112760,1,0,0,0,0,0,0,1,0.0
69945,0,0,0,1,0,0,0,1,0.0
102757,0,0,0,0,1,0,1,0,0.0
133363,0,0,0,0,1,1,1,0,0.0
341384,1,1,0,0,1,0,1,0,0.0
350193,0,0,0,0,0,1,1,0,0.0
411195,0,0,0,0,0,0,1,1,0.0
407887,0,0,0,0,1,0,1,0,0.0
368089,0,0,0,0,1,0,1,0,0.0
396171,0,0,0,1,1,0,1,0,0.0
285823,1,0,0,0,1,0,0,0,0.0
307901,0,0,0,0,1,0,1,0,0.0
310793,0,1,0,0,1,0,1,0,0.0
256009,0,0,0,1,1,0,1,0,0.0
388679,1,0,0,0,0,0,0,1,0.0
940833,0,0,1,0,0,0,0,0,0.0
404203,0,0,0,0,0,1,1,0,0.0
445946,1,0,0,0,1,0,1,0,0.0
159097,0,0,0,0,0,1,1,0,0.0
120894,0,0,0,1,1,1,1,0,0.0
110500,1,0,0,0,0,1,1,0,1.0
114704,0,0,0,0,1,0,1,0,0.0
461804,0,0,0,0,0,0,1,1,0.0
990406,1,1,0,1,0,0,0,0,0.0
103594,1,1,0,0,0,0,1,0,0.0
212346,1,0,0,0,1,1,0,1,0.0
473444,1,0,0,1,0,1,1,0,0.0
320661,1,1,0,0,0,0,1,0,0.0
103060,1,0,1,1,0,0,0,1,0.0
100758,1,0,1,1,0,0,0,1,0.0
455590,0,1,0,0,1,0,1,0,0.0
266987,1,0,0,0,1,0,0,0,0.0
369339,0,0,0,0,1,0,1,0,0.0
448009,0,1,0,0,0,1,1,0,0.0
103074,1,0,0,0,1,0,1,0,0.0
421994,0,0,0,0,0,1,1,1,0.0
318761,0,0,0,0,0,0,1,1,0.0
338977,0,0,0,0,0,1,1,0,0.0
311648,0,0,0,0,0,0,1,1,0.0
98067,0,0,1,0,0,0,1,1,0.0
90967,0,0,0,0,1,0,1,1,0.0
72235,0,0,0,0,1,0,1,1,0.0
61996,0,0,0,0,0,0,1,0,0.0
84628,0,1,0,0,0,0,1,0,0.0
45673,0,1,1,0,0,0,0,0,0.0
157016,0,0,0,0,1,0,1,0,0.0
112864,1,0,0,0,1,0,0,0,0.0
99423,1,0,0,0,1,0,0,0,0.0
318627,1,0,0,1,1,0,0,0,0.0
40746,0,0,0,0,1,0,1,0,0.0
332379,0,1,1,0,0,0,0,1,0.0
38650,0,0,1,1,0,0,1,0,0.0
108550,0,0,0,0,0,1,1,0,0.0
337631,0,1,0,0,0,1,0,1,0.0
161860,0,1,0,0,0,0,1,0,0.0
477347,1,0,1,1,0,0,0,1,0.0
382357,0,1,0,0,0,0,1,0,0.0
462482,0,0,0,0,1,1,1,0,0.0
101765,0,1,0,1,1,1,1,0,0.0
238660,0,0,0,0,0,0,1,1,1.0
293124,1,0,0,0,0,0,0,1,0.0
427219,0,0,0,0,0,0,0,1,0.0
149151,0,1,0,0,0,1,1,1,0.0
202677,1,0,0,0,1,0,1,1,0.0
86465,0,0,0,0,0,0,1,1,0.0
61473,0,0,0,0,0,0,1,1,0.0
135024,0,0,0,0,0,0,1,0,0.0
101921,0,0,0,0,0,0,1,1,0.0
106965,1,0,1,0,0,0,1,0,0.0
399201,1,0,0,1,1,1,0,0,0.0
70849,0,0,0,0,0,1,1,0,0.0
463998,0,1,0,0,1,0,1,0,0.0
101452,1,1,1,1,0,0,0,1,0.0
263329,0,0,0,1,0,0,0,0,0.0
64990,0,0,0,0,1,1,1,0,0.0
61578,1,1,0,0,1,0,0,1,0.0
386140,1,0,0,0,0,0,1,0,0.0
466634,0,1,0,0,0,0,1,0,0.0
177507,0,0,0,0,0,0,1,1,0.0
403217,0,1,0,0,0,0,1,0,0.0
799954,0,1,0,0,0,0,1,0,0.0
428803,0,1,1,0,0,0,0,0,0.0
61795,0,0,0,0,1,0,0,0,0.0
70460,0,0,0,0,0,1,1,1,0.0
47034,0,0,0,1,1,0,1,0,0.0
949502,0,1,0,0,0,0,0,0,0.0
65462,1,0,0,1,1,0,0,0,0.0
61465,0,0,0,0,0,0,1,0,0.0
365513,1,0,0,0,1,0,0,1,0.0
89885,0,0,0,1,1,0,0,1,0.0
395584,0,0,0,0,1,0,1,0,0.0
780180,0,0,0,0,0,0,1,1,0.0
100157,0,0,0,0,1,0,1,0,0.0
109575,1,0,0,1,1,0,0,0,0.0
131502,1,0,0,0,1,0,1,0,0.0
49261,1,0,0,0,0,0,1,0,0.0
102175,0,0,0,0,0,1,1,0,0.0
60390,0,0,0,1,0,0,1,0,0.0
33021,1,1,0,0,0,1,1,0,0.0
351461,0,0,0,0,0,0,1,0,0.0
69095,1,0,0,0,0,0,0,1,0.0
800080,1,0,0,1,0,0,0,0,0.0
371746,1,0,0,1,0,0,0,0,0.0
460829,0,0,0,0,1,0,1,0,0.0
859163,1,0,0,1,1,0,0,0,0.0
805613,0,0,0,0,0,1,1,1,0.0
435705,1,0,0,1,1,0,0,0,0.0
458339,1,0,0,1,0,0,0,0,0.0
22626,0,0,0,0,1,0,1,0,0.0
361596,0,1,0,0,0,0,1,0,0.0
309326,0,1,0,0,0,0,0,0,0.0
98213,0,1,0,0,0,0,0,0,0.0
497116,0,1,0,0,0,0,0,0,0.0
940580,0,0,0,0,1,0,1,0,0.0
243609,1,1,0,0,0,0,1,1,0.0
97884,0,0,0,0,0,1,0,1,0.0
62728,0,0,0,0,0,1,1,0,1.0
87277,0,1,1,0,0,1,1,0,0.0
254686,0,1,0,0,0,1,1,0,0.0
338466,0,0,0,0,0,0,0,1,0.0
119809,0,0,0,1,0,0,1,1,0.0
118971,0,0,0,0,1,0,1,0,0.0
88915,0,1,0,0,0,0,1,0,0.0
183649,0,0,0,0,1,0,1,0,0.0
54389,0,0,0,0,1,0,1,0,0.0
463034,0,0,0,0,0,1,0,1,0.0
343660,0,0,0,0,0,1,0,1,0.0
409184,0,0,0,0,0,1,1,1,0.0
399295,0,0,0,0,1,0,1,0,0.0
156841,0,0,0,0,0,1,1,1,0.0
120655,1,0,0,1,0,0,1,1,0.0
294870,0,1,0,0,0,1,1,1,0.0
72973,0,0,0,0,1,0,0,0,0.0
337961,0,0,0,0,1,0,1,0,0.0
227458,0,0,0,0,0,1,1,0,0.0
425235,0,0,1,0,0,0,1,0,0.0
39217,0,0,0,0,1,0,1,0,1.0
39545,0,0,0,0,1,0,1,0,1.0
841044,0,0,0,0,0,1,1,1,0.0
64638,0,0,0,0,1,0,1,0,0.0
70334,0,0,0,0,1,0,1,1,0.0
145400,0,0,0,0,1,0,1,0,0.0
57362,0,1,0,0,1,0,1,0,0.0
96815,0,1,0,0,0,0,1,0,0.0
82059,1,1,0,0,1,1,1,1,0.0
65828,0,0,0,0,0,0,0,1,0.0
1298650,1,0,0,1,0,0,0,0,0.0
62686,0,0,0,0,1,1,1,0,0.0
59168,1,0,0,1,1,0,0,1,0.0
389328,1,0,0,0,1,0,0,0,0.0
112495,1,0,0,0,1,0,1,0,0.0
382222,0,0,0,0,1,0,1,1,0.0
309093,0,1,0,0,0,1,1,0,1.0
42727,0,0,0,0,0,0,1,0,0.0
87538,1,0,1,0,0,0,1,0,1.0
422720,0,1,0,0,0,1,1,0,0.0
59248,0,0,0,0,1,0,0,1,0.0
120915,1,0,0,1,0,0,0,0,0.0
445691,0,1,0,0,0,0,1,0,0.0
181865,0,0,0,0,1,0,1,0,0.0
125659,0,0,0,1,1,1,1,0,0.0
397535,0,1,0,0,0,1,1,0,0.0
65465,0,0,0,0,0,1,0,0,0.0
441795,0,0,0,0,0,0,1,1,0.0
120657,1,1,0,1,0,0,0,0,0.0
810868,0,0,0,0,0,0,1,1,0.0
487027,0,0,0,0,0,1,0,1,1.0
326036,0,0,0,0,1,0,1,0,0.0
491747,0,0,0,0,0,1,1,0,0.0
50271,0,0,0,0,1,0,1,0,1.0
762110,0,0,0,0,0,0,1,0,0.0
389738,0,0,0,0,0,0,1,1,1.0
948470,1,0,0,1,0,0,0,0,0.0
775539,0,1,0,0,0,1,1,0,0.0
138097,0,1,0,0,0,1,1,1,0.0
410639,0,0,0,0,0,0,1,1,0.0
47422,1,0,0,0,0,1,1,0,0.0
51429,0,0,0,0,0,1,1,0,0.0
44357,0,0,0,0,1,1,1,0,1.0
53804,1,1,0,0,0,0,1,0,0.0
58997,0,0,0,0,1,0,0,0,0.0
342735,0,0,0,0,0,0,1,0,0.0
80678,0,1,0,0,0,0,1,0,0.0
278435,0,0,0,0,1,0,1,0,0.0
283832,0,1,0,0,1,1,0,1,0.0
489235,0,0,0,1,1,0,0,1,0.0
456470,0,0,0,0,0,1,1,0,0.0
120787,0,0,0,0,1,0,1,0,0.0
346491,1,1,0,0,0,1,1,0,0.0
384814,0,0,0,0,0,1,1,0,0.0
119141,0,0,0,0,0,1,1,1,0.0
