,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,imdb_id
30,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,325980
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2872732
32,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2119532
33,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2310332
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860357
35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2488496
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1340138
37,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2293640
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4501244
39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2713180
40,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4572514
41,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2103281
42,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2562232
43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1951265
44,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2975590
45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1981115
46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2395427
47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,498381
48,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4425200
49,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3783958
50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1877832
51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,468569
52,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2267998
53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2820852
54,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1375666
55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75242
56,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2872718
57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76759
58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4975722
59,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3659388
60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2908446
61,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,499549
62,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1293847
63,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2245084
64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,848228
65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,478970
66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,137523
67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3774114
68,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1291150
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3344680
70,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3393786
71,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1935859
72,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5052448
73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,133093
74,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1790809
75,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2084970
76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110912
77,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1386697
78,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2140479
79,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111161
80,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4465564
81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1379182
82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1895315
83,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,3640424
84,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1345836
85,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,800369
86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4550098
87,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1661199
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3062096
89,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,90605
90,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120737
91,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,449088
92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1843866
93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1663202
94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2381249
95,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1790864
96,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5078204
97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5168832
98,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1228705
99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2660888
100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,371746
101,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1964418
102,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2692250
103,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3501632
104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,361748
105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1318514
106,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,383574
107,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,167260
108,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,320691
109,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1300854
110,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,120338
111,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2034800
112,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3631112
113,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,110357
114,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2379713
115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1631867
116,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1679335
117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4034228
118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2126355
119,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,903624
120,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1823672
121,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113568
122,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,268380
123,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,78748
124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4196776
125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711525
126,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,926084
127,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3799694
128,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1798709
129,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1323594
130,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1298650
131,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,241527
132,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1130884
133,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266697
134,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,304141
135,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1099212
136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2637276
137,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68646
138,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1872181
139,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1617661
140,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3460252
141,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,5155780
142,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,421715
143,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,109830
144,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1049413
145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,88247
146,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,458339
147,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,108052
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4046784
149,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,114369
150,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,4731136
151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1853728
152,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2120120
153,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,84787
154,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3095734
155,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,770828
156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3410834
157,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3110958
158,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,373889
159,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,81505
160,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,482571
161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2109248
162,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3040964
163,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1637725
164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,470752
165,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1408101
166,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,490215
167,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,209144
168,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,323298
169,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,246578
170,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,101414
171,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2398241
172,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,455944
173,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,993846
174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,117060
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1840309
176,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2322441
177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1628841
178,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117951
179,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,372784
180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195753
181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1951264
182,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1446714
183,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2294629
184,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2278388
185,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1398426
186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3371366
187,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3263904
188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119646
189,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,245429
190,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,947798
191,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,434409
192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956620
193,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,457430
194,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2316204
195,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,948470
196,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1201607
197,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404435
198,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,99864
199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1670345
200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1285016
201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,103064
202,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3416828
203,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5311514
204,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172495
205,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4630562
206,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82971
207,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,116629
208,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,268978
209,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1074638
210,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,398286
211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,454921
212,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2096673
213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1454468
214,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,167261
215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1951266
216,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1289401
217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446042
218,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,266543
219,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2382009
220,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,198781
221,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,88763
222,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,258463
223,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2709768
224,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,290673
225,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,417741
226,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1170358
227,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,816711
228,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,119116
229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1259521
230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1136608
231,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,110413
232,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1156398
233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1320253
234,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4857264
235,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3235888
236,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,73195
237,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,829150
238,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,103644
239,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,99487
240,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2304933
241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2179136
242,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425112
243,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,974015
244,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,54215
245,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1878870
246,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,480249
247,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1205489
248,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,83658
249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,381061
250,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2024544
251,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,107048
252,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,803096
253,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3450958
254,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,221443
255,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,910970
256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4682786
257,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,295297
258,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,240772
259,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97576
260,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,328107
261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,123755
262,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,116367
263,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,372183
264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,181852
265,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,103639
266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,884328
267,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2267968
268,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3416532
269,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,780504
270,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4682266
271,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,29583
272,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4624424
273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,343818
274,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3922818
275,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87469
276,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1457767
277,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5336230
278,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3531824
279,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,120912
280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,169547
281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,438488
282,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,234215
283,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,105236
284,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,317705
285,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,338013
286,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1010048
287,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1937390
288,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,120382
289,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,145487
290,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2582782
291,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,382932
292,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1504320
293,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,330373
294,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1060277
295,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,830515
296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,95016
297,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114709
298,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61852
299,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1014759
300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3503406
301,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82948
302,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,82528
303,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3079380
304,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,62622
305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1276104
306,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,208092
307,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,317919
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1637688
309,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94721
310,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,458352
311,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1911658
312,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99685
313,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,435761
314,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,264464
315,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1798684
316,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2674426
