,Act_Adven_West,Mus_Bio_His_War_Doc,Sh_Ani_Fam,Fant_SF,Mys_Cri_Hor_Thr,Romance,Drama,Comedy
291928,0,0,0,0,0,1,1,0
108447,0,0,0,0,1,0,0,0
1568926,0,1,0,0,0,0,0,1
395947,0,0,1,1,0,0,0,0
183288,0,1,1,1,0,0,0,1
1404702,0,1,0,0,0,0,0,0
83281,0,1,0,0,0,0,0,1
834964,0,0,0,0,0,0,0,0
116479,0,1,0,0,0,0,0,0
452624,0,1,0,0,1,1,1,0
103761,0,0,0,0,0,0,0,1
1856691,0,1,0,0,0,0,0,0
111205,0,0,0,0,1,0,1,0
48484,1,1,0,0,1,0,1,0
1146431,1,0,1,1,0,0,0,1
39061,0,0,0,0,0,0,1,0
90197,0,0,0,0,1,0,1,0
1171238,0,1,0,0,0,0,0,0
1193122,0,1,0,0,0,0,0,0
37492,0,0,0,0,0,0,0,1
181875,1,1,0,0,0,0,1,1
865554,1,0,0,0,1,0,1,0
1335992,1,0,0,0,1,0,1,0
1243381,0,0,0,0,0,1,1,1
92618,0,0,0,0,0,1,1,1
1535615,0,0,1,0,0,0,0,1
455915,0,0,0,0,0,0,1,0
949731,0,0,0,1,1,0,0,0
1298650,1,0,0,1,0,0,0,0
447854,0,0,1,0,0,0,1,0
60453,0,0,0,0,0,1,1,1
80179,1,0,0,0,0,0,0,1
75834,0,0,0,0,1,0,0,0
61075,0,0,0,0,1,0,1,0
58756,0,0,0,0,0,1,1,1
194062,1,0,0,0,0,0,1,0
460925,0,0,1,0,0,0,0,1
1562392,0,0,0,0,0,0,0,1
206634,1,0,0,1,1,0,1,0
1523483,0,0,0,1,1,1,0,1
1019919,0,0,0,0,0,0,0,1
251402,0,0,0,0,0,0,1,0
92867,1,0,0,0,1,0,1,0
38470,0,0,0,0,1,0,0,0
446059,1,1,0,0,0,0,1,0
451094,0,0,0,0,1,0,1,0
81534,0,0,0,1,0,1,1,0
443693,0,0,0,1,0,0,1,0
1262877,0,0,0,0,0,0,1,1
1332676,0,0,0,0,1,0,0,1
88763,1,0,1,1,0,0,0,1
55562,0,0,0,1,0,0,0,0
86477,1,0,1,1,0,0,0,1
1657283,0,1,0,0,0,0,1,1
99081,1,0,0,0,1,0,1,1
29001,1,0,0,0,0,0,0,0
79738,0,0,0,0,1,0,0,1
1468703,1,0,0,0,1,0,0,0
120434,0,0,0,0,0,0,0,1
75626,0,0,1,0,0,0,0,1
40625,0,0,1,0,0,0,0,1
59159,0,0,0,0,0,0,1,1
72597,0,0,0,0,1,0,1,0
117794,0,0,1,1,1,0,1,1
96223,0,1,0,0,0,0,1,1
77409,0,0,0,0,0,0,1,0
71429,0,0,0,0,0,0,1,1
77556,1,0,0,0,0,0,1,0
102142,0,1,0,0,0,0,0,0
53032,0,0,0,0,0,1,1,0
920910,0,1,0,0,0,0,0,0
794350,0,0,0,0,0,0,1,0
320769,0,1,0,0,0,0,0,0
346750,0,0,1,0,0,0,0,0
1520494,0,0,1,1,1,0,0,0
269483,0,0,0,0,1,0,0,1
843358,0,0,1,0,0,0,1,1
41238,1,0,1,0,0,0,1,0
101494,1,0,0,0,0,0,1,1
846665,0,0,0,0,1,0,0,0
469903,0,1,0,0,0,0,1,0
112445,0,0,1,0,0,0,1,0
77469,1,0,0,1,0,0,0,0
3934,0,0,1,0,0,0,0,1
1568816,0,0,0,1,1,0,0,0
1509109,0,0,0,0,1,0,0,0
1195497,0,0,0,0,0,0,0,0
1210063,0,0,1,0,0,0,1,0
164711,0,0,0,0,0,0,0,1
1337310,0,0,0,0,0,0,0,0
85906,0,0,0,0,0,0,0,0
1212909,0,1,1,0,0,0,1,0
300140,0,0,0,0,1,0,1,0
56111,0,1,0,0,0,0,1,0
1499666,0,0,0,0,0,1,1,1
926056,0,0,0,0,0,0,0,1
69956,1,0,0,0,1,0,0,0
384013,0,0,0,0,0,1,1,0
64232,0,0,0,0,0,0,0,1
1482454,1,0,0,1,0,0,0,0
102015,0,1,0,0,0,0,0,0
1433562,1,0,0,0,1,0,0,0
53651,0,0,0,1,0,1,0,0
12570,0,0,1,1,0,0,0,1
472571,0,0,0,0,1,0,0,0
34669,0,0,1,0,0,0,0,1
91538,0,0,0,0,1,1,1,0
88213,0,1,0,0,0,1,1,1
68972,0,0,0,0,1,1,0,0
455195,1,0,0,0,1,0,0,0
60120,1,0,0,0,0,0,0,0
389237,0,1,0,0,0,0,0,0
381292,0,0,0,0,0,0,1,0
18150,0,0,1,0,0,0,0,1
841128,0,1,0,0,0,0,0,0
1290414,0,0,0,0,0,0,1,0
55070,0,1,0,0,0,0,1,0
72281,1,0,0,0,0,0,1,1
26145,0,1,1,0,0,0,0,1
109553,0,0,1,1,1,0,0,0
875025,0,0,0,0,1,0,0,1
1249189,0,1,0,0,0,0,0,0
26529,0,0,0,0,1,0,1,0
3733,0,0,1,0,0,0,0,1
273790,0,1,0,0,0,0,0,0
419515,0,0,0,0,0,0,1,0
162711,1,0,0,0,1,1,0,1
278793,0,1,0,0,0,0,0,0
1090680,0,0,0,0,0,1,1,0
21864,0,0,0,1,0,0,0,0
189160,1,0,1,0,0,0,0,1
44760,1,1,0,0,0,1,1,0
1471325,0,1,0,0,0,0,0,0
1714014,0,0,0,0,0,0,1,0
104819,0,0,0,0,0,0,1,0
484740,0,0,0,0,0,1,1,0
103961,0,0,0,0,0,1,0,1
424840,0,0,0,0,1,0,1,0
430559,0,0,1,0,1,0,0,1
59083,0,0,0,0,1,0,0,0
1173959,0,0,0,0,0,1,1,0
64397,1,0,0,0,0,1,1,0
145929,0,0,0,0,0,1,1,1
76040,0,0,0,0,1,0,1,0
96430,0,0,1,1,0,0,0,1
1139593,0,1,0,0,0,0,0,1
40947,0,0,0,0,1,0,1,0
106977,1,0,0,0,1,0,1,0
2115388,0,0,0,0,0,1,1,1
177242,0,0,0,0,0,1,0,1
391418,0,1,0,0,0,0,0,0
1838729,0,0,0,0,0,1,0,1
1857758,0,1,0,0,0,0,1,0
264577,1,0,0,0,0,0,0,1
1142972,0,1,0,0,0,0,1,1
439591,0,0,0,0,0,0,0,1
450996,1,0,0,0,1,0,0,1
800081,0,1,0,0,0,0,0,0
1164545,1,0,1,0,1,0,0,0
458349,1,0,0,0,0,0,0,0
1560613,0,0,0,0,0,1,0,1
383475,0,1,0,0,0,0,0,0
388505,0,0,0,0,0,0,1,0
384504,0,0,0,0,0,1,1,1
113325,0,0,1,1,0,0,0,1
93090,0,0,0,0,1,0,0,0
372113,0,1,0,0,0,0,0,0
5544453,0,0,0,0,0,0,1,0
113540,0,0,0,0,1,0,1,0
1027747,1,0,0,0,1,0,1,0
13158,0,0,1,0,0,0,0,1
62198,1,0,0,0,0,0,0,0
219653,1,0,0,1,1,0,0,0
35966,0,1,0,0,1,0,1,0
1397236,0,0,0,0,1,0,0,1
342835,0,0,0,0,1,0,1,0
113535,0,0,0,0,1,0,1,0
132383,0,0,0,0,1,0,0,1
308163,0,0,0,1,1,0,0,0
243220,0,0,0,0,0,1,1,0
948465,0,1,0,0,0,0,0,0
285742,0,0,0,0,0,1,1,0
64160,1,0,0,0,0,0,0,1
449771,0,1,0,0,0,0,0,0
84750,1,0,0,1,0,1,0,0
95445,0,0,0,0,1,0,1,0
1275786,0,0,0,0,1,0,0,0
64861,0,0,0,0,1,0,1,0
1700844,0,0,0,0,0,1,1,0
42367,1,1,0,0,0,1,1,0
59063,0,0,0,0,0,1,1,0
1286164,0,0,0,0,0,0,1,0
52100,0,0,1,0,0,0,0,0
918561,1,0,0,0,1,0,0,0
240033,0,0,0,0,0,0,1,1
374291,0,1,0,0,0,0,0,0
1000158,0,0,0,0,0,0,1,0
314944,1,0,0,0,1,0,1,0
72825,0,0,0,0,0,0,0,1
280707,0,0,0,0,1,0,1,1
38823,0,1,0,0,0,0,1,0
5544644,1,0,0,0,0,0,1,0
1334328,0,1,0,0,0,0,1,0
875034,0,1,0,0,0,1,1,0
227989,0,0,0,0,0,0,0,0
71675,0,0,0,0,1,0,0,0
49748,0,0,0,0,1,0,1,0
1399210,0,0,0,0,0,0,0,1
167872,0,0,0,0,0,0,1,0
1031212,0,0,1,0,0,0,1,0
1288376,0,0,1,0,0,0,1,0
97939,0,1,0,0,0,0,1,0
339135,1,0,0,0,1,0,1,0
473539,1,0,1,0,0,0,1,1
1034306,0,0,0,0,1,0,1,0
424854,0,1,0,0,0,0,0,0
64072,1,1,0,0,0,0,1,0
2307720,0,0,0,0,0,0,1,0
1092027,1,0,1,0,0,0,0,1
75988,0,1,1,0,0,0,1,1
230011,1,0,1,1,0,0,0,0
1313087,0,1,0,0,0,0,0,0
111183,1,0,0,0,1,0,1,0
69279,1,0,0,0,1,0,1,0
58154,0,0,0,1,0,1,0,1
115503,0,0,0,1,0,0,0,1
91544,0,0,0,1,1,0,0,1
46004,0,0,1,0,0,0,1,0
310045,1,0,1,1,0,0,0,0
93315,0,0,0,0,0,0,0,1
140673,0,0,1,0,0,0,0,1
3600964,0,0,0,0,0,0,1,0
347330,1,0,0,0,1,0,1,0
974566,0,0,0,0,0,0,0,0
477021,0,0,0,0,0,0,0,1
1101035,0,0,0,0,1,0,0,1
21885,0,0,0,0,1,1,1,0
25335,0,0,0,0,0,1,1,1
236283,0,0,0,0,1,0,0,0
398027,0,0,0,0,1,1,1,0
186419,0,0,0,0,0,0,1,0
923683,0,0,0,0,1,0,0,0
87903,1,0,0,1,1,0,0,0
1270296,0,0,0,0,1,0,1,0
357054,1,0,0,0,0,1,0,1
1007018,0,0,0,0,0,1,1,1
114435,0,1,0,0,0,0,0,0
33985,0,0,1,0,0,0,0,1
1576440,0,0,0,0,1,0,1,0
416675,0,0,0,0,0,0,1,0
120242,0,0,0,0,0,0,0,0
1653705,0,1,0,0,0,0,0,0
54337,0,1,0,1,1,0,0,1
475864,0,0,0,0,0,0,0,1
156794,0,0,0,0,0,0,1,0
1053857,1,0,0,0,0,0,0,0
192194,0,0,0,0,0,0,1,1
97730,0,0,0,1,0,0,1,0
450827,0,0,0,0,1,0,1,0
64782,1,1,0,0,0,1,1,1
479916,0,1,0,0,0,0,0,0
37197,1,1,0,0,0,0,1,0
167827,0,0,1,1,0,0,0,0
118772,0,0,0,0,0,1,1,1
37709,0,0,1,0,0,0,0,1
389282,0,0,0,0,0,0,1,0
381190,0,0,0,0,0,1,0,1
1753753,0,0,0,0,1,0,0,0
1412727,0,0,0,1,0,0,0,0
103704,0,0,0,0,0,1,1,1
1381508,0,0,0,0,1,0,0,0
1867984,0,0,0,0,1,0,0,1
88380,1,0,0,1,0,0,0,0
189524,0,0,1,0,0,0,0,1
963915,1,0,0,0,1,0,0,1
1001508,0,0,0,0,0,1,1,1
25465,0,0,0,0,1,0,0,0
325165,1,1,0,0,0,0,1,0
92144,0,0,0,0,0,0,0,1
382627,0,0,0,0,0,0,1,0
312617,1,0,0,0,1,0,1,0
316824,1,1,0,0,1,0,1,0
113926,0,0,0,1,1,0,0,0
72012,1,0,0,0,0,0,0,1
1156293,0,0,0,0,0,1,1,0
1023343,0,0,0,0,0,0,1,0
1571565,1,0,0,0,1,1,0,0
120018,0,0,0,0,1,0,0,1
1372710,1,0,1,1,1,0,1,0
39750,1,0,0,0,0,1,0,0
445336,0,1,0,0,0,0,1,1
195587,0,0,0,0,0,0,1,1
164518,1,0,0,0,1,0,1,0
1941657,0,1,0,0,0,0,1,0
1725133,0,0,0,0,1,0,0,1
52649,0,0,0,0,0,0,0,1
395585,0,0,0,0,1,0,1,0
1125849,0,0,0,0,0,1,1,0
5544438,1,0,1,0,0,1,1,0
1080695,0,0,0,0,0,0,1,0
1466067,0,1,0,0,0,0,0,0
331933,1,0,0,0,0,0,0,1
1604231,1,0,0,0,1,0,1,0
1033465,0,0,0,0,0,0,1,0
51087,1,0,0,0,0,1,1,0
1684628,0,0,0,0,0,0,1,0
107870,1,0,1,1,0,0,1,1
2009436,0,1,0,0,0,0,1,0
1266027,1,0,0,0,1,0,1,0
1702484,0,0,0,0,0,0,0,0
52427,1,1,1,1,0,0,0,0
375233,0,0,0,0,1,0,1,0
110074,0,0,0,1,0,0,1,1
1139571,0,1,0,0,0,0,0,1
117990,0,0,0,0,0,0,0,1
1535098,0,0,0,0,1,0,0,0
404203,0,0,0,0,0,1,1,0
116538,0,0,0,0,1,0,1,0
2140391,0,0,0,0,0,0,0,0
979911,0,0,1,0,0,0,0,0
73640,1,1,1,1,0,0,0,1
94746,0,0,0,0,0,1,1,1
54759,0,0,0,0,0,1,0,1
138703,0,0,0,1,1,0,0,0
1907707,0,0,0,0,1,0,1,0
1313096,0,0,1,0,0,0,0,0
420548,0,0,0,0,0,0,1,0
101616,0,0,0,0,0,1,0,1
51062,0,0,0,0,1,1,1,0
936451,0,1,0,0,0,0,0,0
50706,0,0,0,0,0,0,0,1
73722,0,0,0,0,0,0,0,1
1373152,0,0,0,0,0,0,0,0
103060,1,0,1,1,0,0,0,1
73149,0,0,0,0,1,0,1,0
370910,0,0,0,0,0,1,1,0
112634,1,0,0,1,1,0,0,0
87472,0,0,0,0,1,0,0,0
107302,0,0,0,0,1,0,1,0
111383,0,0,0,0,1,0,0,1
323872,0,0,0,0,0,0,1,1
949566,0,0,0,0,0,0,0,1
98238,0,1,0,0,1,0,1,0
120243,0,0,0,0,0,0,0,0
488953,0,1,0,0,0,0,0,0
323084,0,0,0,0,0,0,0,1
1280491,0,0,0,0,1,0,1,0
479500,1,0,1,0,1,1,0,1
78490,1,1,0,0,1,0,1,0
442043,0,1,1,0,0,0,0,0
1606600,1,0,1,0,1,0,0,0
444519,0,0,0,1,0,0,0,1
316882,1,0,0,1,0,0,0,0
388362,1,0,0,0,1,0,0,0
32179,0,0,0,0,0,0,1,0
76877,1,0,0,0,1,0,0,0
1384774,0,1,0,0,0,1,1,0
396483,0,1,0,0,0,0,0,0
31907,0,1,0,0,0,0,0,1
182060,1,0,0,1,0,0,0,0
255626,0,0,0,0,0,0,0,0
194811,0,1,0,0,0,0,0,0
71803,0,1,0,0,0,0,0,1
107048,0,0,0,1,0,1,1,1
258536,0,0,0,0,0,0,0,0
114683,1,0,0,0,1,0,0,0
46786,1,0,0,0,0,0,0,0
349661,0,1,0,0,0,1,1,0
1269706,0,0,0,0,1,0,1,0
75753,0,0,0,0,0,1,1,0
466500,0,0,0,0,0,0,1,0
892299,0,0,0,0,0,0,0,0
991156,0,1,0,0,0,0,1,0
107642,0,0,0,0,0,1,1,1
112660,0,0,0,0,0,0,1,0
2007430,0,0,0,0,1,0,1,0
114417,1,1,0,0,0,0,0,0
765430,0,1,0,0,1,0,1,1
69208,0,0,0,0,1,0,0,0
197115,0,0,0,0,1,0,0,0
71695,1,1,0,1,0,0,1,0
119336,0,0,0,0,0,0,1,1
47120,0,0,0,0,1,0,1,0
427206,0,1,0,0,0,0,0,0
217119,0,0,0,0,1,0,1,0
56064,0,1,1,0,0,0,0,0
75703,0,1,1,1,0,0,0,1
327746,0,0,0,0,0,1,1,0
60637,1,1,0,0,0,0,1,0
411117,0,0,0,0,0,1,1,0
1974224,0,0,0,0,0,0,1,0
1372293,0,1,0,0,0,0,0,0
82243,0,0,0,1,1,0,0,0
1339268,0,0,0,0,0,0,1,1
29395,0,0,0,0,0,1,0,1
117688,1,0,0,1,1,0,0,0
1980085,0,0,0,0,0,0,0,1
179148,0,1,0,1,1,0,1,0
99129,0,1,0,0,0,0,1,0
391159,0,1,0,0,0,0,0,0
1767272,0,0,0,0,1,0,0,0
1401607,0,0,0,0,0,0,0,1
1045778,1,0,0,0,0,0,0,1
1087869,0,1,0,0,0,0,0,1
1270275,0,0,0,0,1,0,1,0
1051907,1,0,0,0,1,0,1,0
1851871,1,0,0,0,0,0,1,1
81485,0,0,0,0,0,1,0,1
45586,0,1,1,0,0,1,0,1
89135,1,0,0,0,1,0,1,0
390109,0,1,0,0,0,0,0,0
1556633,0,0,0,0,0,0,0,1
1196618,1,0,0,0,1,1,0,0
243525,0,0,0,0,0,0,0,0
1526323,1,0,0,0,1,0,1,0
52716,1,0,0,0,1,0,1,0
31302,0,0,0,0,0,1,0,1
1305865,0,0,0,1,0,1,1,1
60089,0,0,1,1,0,0,1,0
114168,0,0,0,1,1,0,1,0
22199,0,0,1,0,0,0,0,0
119257,1,0,0,0,1,0,0,0
1476410,0,1,0,0,0,0,0,0
63859,1,0,0,1,0,0,0,0
49261,1,0,0,0,0,0,1,0
320171,0,0,0,0,0,0,0,0
462364,1,0,0,0,0,0,0,1
106535,0,0,0,0,0,0,1,0
489067,0,0,0,0,1,0,1,0
1337040,0,0,0,0,1,1,0,0
255067,0,0,0,0,1,0,0,1
439654,1,0,0,0,0,0,1,1
221028,0,1,0,0,0,0,0,0
222850,0,0,0,0,0,1,1,1
439820,0,1,0,0,0,0,0,0
48473,0,0,0,0,0,0,1,0
84468,0,0,0,1,0,0,1,1
189047,1,0,0,1,1,1,0,0
23158,0,1,0,0,0,1,0,1
86287,1,0,0,0,1,1,1,0
107222,1,0,0,0,1,0,0,0
79845,0,0,0,0,0,1,1,0
94879,0,0,0,0,0,0,0,1
1850397,0,0,0,0,1,1,0,0
72229,0,0,1,0,0,0,0,1
46263,0,1,0,0,0,0,1,0
312862,0,0,0,0,0,0,0,1
903036,1,0,0,0,1,0,0,0
47906,0,0,0,0,0,1,0,1
108097,1,0,0,1,1,0,1,0
92696,1,1,1,0,1,0,1,1
73059,1,0,0,0,0,0,0,0
72410,0,1,1,0,0,0,0,1
104139,0,0,0,0,1,0,1,1
997282,0,0,0,0,1,0,0,0
305173,0,0,0,0,0,0,1,1
279351,0,0,0,0,0,0,1,0
40497,0,0,1,0,0,0,0,1
373788,0,0,0,0,1,0,1,0
214490,0,1,0,0,0,0,0,0
91584,0,1,1,1,0,0,0,0
45222,0,0,1,0,0,0,0,1
99395,0,0,0,0,1,1,0,0
62024,0,0,0,0,1,0,0,0
110399,1,0,0,0,1,0,0,1
254481,1,0,0,1,0,1,1,0
336325,0,0,0,0,1,0,0,0
47459,0,0,0,0,0,1,1,1
302031,0,0,0,0,0,1,1,0
850698,0,1,0,0,0,0,0,0
199054,0,0,0,0,0,0,0,1
1694015,0,1,0,0,0,0,0,0
29347,0,1,0,0,0,0,0,1
1483753,0,0,0,0,0,0,1,0
68389,0,1,0,0,0,0,0,0
257510,1,0,0,0,1,0,0,0
3356710,0,1,0,0,0,0,0,0
2060540,0,0,0,0,0,0,0,1
1307989,1,0,0,0,1,0,1,0
2043891,0,0,0,0,0,0,0,1
1653690,1,1,0,0,0,0,0,0
1302570,1,0,1,0,0,0,1,0
456146,0,1,0,0,0,0,0,0
118664,1,0,1,1,0,0,0,0
1568328,0,1,0,0,0,0,0,0
200138,0,0,1,0,0,0,1,0
107147,0,0,0,0,1,1,0,0
479547,0,1,0,0,0,0,0,0
151585,0,0,1,0,1,0,0,0
1388794,1,0,0,0,1,1,1,0
106413,0,0,0,0,0,0,0,1
48696,0,0,0,1,1,0,0,0
475296,0,1,0,0,0,0,1,0
65180,1,1,0,0,0,1,0,0
43892,0,0,0,0,0,0,1,0
93113,1,0,0,0,0,0,0,0
28141,0,1,0,0,0,0,1,0
1273815,1,1,0,0,0,0,1,0
1600029,0,0,0,0,0,0,0,0
43548,0,1,1,0,0,0,0,0
285993,1,1,0,0,0,1,1,0
818536,0,1,0,0,0,0,0,0
1783411,1,0,0,0,0,0,1,1
421224,0,0,0,0,0,0,1,0
97722,0,0,0,0,0,0,1,0
1874819,0,0,0,0,0,0,0,0
123566,0,1,0,0,0,0,0,1
1158864,0,1,0,0,0,0,0,0
374862,0,0,0,0,0,0,0,1
112471,0,0,0,0,0,1,1,0
850674,0,0,0,0,0,1,1,0
787495,0,0,0,0,1,0,1,1
37248,0,0,0,0,1,0,0,0
199681,1,0,0,0,0,0,1,0
456117,0,0,0,0,0,0,0,1
82867,0,0,0,0,0,1,0,1
1539491,0,0,0,0,0,0,0,1
1126531,0,0,0,0,0,0,0,0
68649,0,0,0,0,1,0,0,1
26682,0,1,0,0,0,0,1,0
470587,0,0,0,0,0,0,1,0
1332100,0,1,0,0,0,1,1,1
1191140,0,0,0,0,0,0,1,0
130370,1,0,0,0,1,0,0,0
30833,1,0,1,0,0,1,0,1
249241,0,0,0,0,1,0,1,0
124179,0,0,0,0,0,1,1,1
85266,0,0,0,0,1,0,0,0
185584,0,0,0,0,0,0,0,1
104469,0,0,0,0,0,1,0,1
24471,0,0,0,0,1,1,1,1
14358,0,0,0,0,0,0,0,1
1498094,0,1,0,0,0,0,0,0
385727,0,0,0,0,0,0,0,1
54820,0,0,0,0,0,0,0,1
1235548,0,1,0,0,0,0,1,0
462545,0,0,0,0,0,0,1,0
5544465,0,0,0,0,0,0,1,0
1454628,1,0,1,1,0,0,0,0
44863,1,0,0,0,1,1,1,0
53598,1,0,0,1,0,0,0,0
38964,0,0,1,0,0,0,0,1
84156,0,1,0,0,0,0,0,1
108624,1,1,0,1,0,0,0,0
48593,1,1,0,0,0,0,1,0
244653,0,0,0,0,1,0,0,1
373883,0,0,0,0,1,0,0,0
426413,0,0,1,0,0,0,0,1
97115,1,0,1,0,0,0,1,0
427256,0,1,0,0,0,0,0,0
1651328,0,0,0,0,0,0,1,1
59631,0,0,1,0,0,0,0,1
479046,1,1,0,0,0,1,1,0
1446072,1,0,0,0,1,0,0,0
1332106,0,0,0,0,1,0,0,0
480461,1,0,1,1,1,0,0,0
66578,0,0,0,0,1,0,0,0
107207,0,1,0,0,0,0,1,0
1855417,0,0,0,0,1,0,0,1
1444307,0,1,0,0,0,0,0,0
413946,0,1,0,0,0,0,0,1
235154,0,0,0,0,1,0,0,1
202254,0,0,0,0,0,0,0,1
2156679,0,0,0,0,0,1,0,0
38342,0,0,0,0,1,1,1,0
471223,1,0,0,1,1,0,1,0
98067,0,0,1,0,0,0,1,1
1422382,0,1,0,0,0,0,0,0
53279,0,0,0,0,0,0,1,0
1671539,0,1,0,0,0,0,0,0
89199,0,1,0,0,0,0,0,1
818083,0,1,0,0,0,0,0,0
38453,0,0,0,0,1,0,1,0
66758,0,1,0,0,0,1,1,0
1358383,0,1,0,0,0,0,0,0
113981,1,0,0,0,1,0,1,0
790769,0,1,0,0,0,0,0,0
39700,0,0,1,0,0,0,0,1
96889,0,0,0,0,1,0,0,0
1721693,0,1,0,0,0,0,0,0
1311087,0,0,0,1,0,0,1,0
488000,0,0,0,0,0,0,1,0
1746136,0,1,0,0,0,0,0,0
66754,0,0,0,0,1,0,0,0
1173494,0,1,0,0,0,0,1,0
355183,0,0,0,0,0,0,0,1
475317,0,0,0,0,1,0,1,0
58622,0,0,0,0,1,0,0,0
54250,0,1,0,0,0,1,1,0
293124,1,0,0,0,0,0,0,1
71970,0,0,0,0,1,0,1,0
449519,0,0,0,0,1,0,0,0
1170405,0,0,1,0,0,1,0,1
450065,0,1,0,0,0,0,0,0
106225,0,1,0,0,0,0,0,0
95288,0,1,0,0,0,1,0,1
2150394,1,0,0,0,0,0,0,0
1692221,0,1,0,0,0,0,0,1
857295,0,0,0,0,1,0,0,0
46991,0,0,0,0,0,1,0,1
106309,1,0,0,0,1,0,1,0
62430,0,1,0,0,0,1,1,0
829429,0,1,0,0,0,0,0,0
78087,0,0,0,1,1,0,0,1
1167638,1,0,0,0,1,0,0,0
1052024,0,0,1,1,1,0,0,0
119080,0,0,0,0,0,0,1,0
1144579,0,0,0,1,1,0,0,0
1270113,0,0,0,0,0,0,0,1
280770,0,0,0,1,0,1,1,0
75164,0,0,0,0,1,0,0,0
62682,0,0,0,0,1,0,0,0
1734548,0,0,0,0,0,1,0,1
180802,0,0,0,0,0,1,0,1
472566,1,0,0,1,0,0,0,1
106366,0,0,0,1,0,0,0,1
420151,0,0,0,1,1,0,0,1
1612039,1,0,0,0,1,0,1,0
379265,0,0,0,0,0,0,0,1
101628,0,0,0,1,1,0,0,1
1339635,0,1,0,0,0,0,0,0
1613023,0,1,0,0,0,0,0,0
1235448,0,0,0,1,1,0,0,0
960790,0,0,0,0,0,1,1,1
28377,1,0,0,0,0,0,1,0
118972,1,0,0,0,1,0,1,0
1319727,0,1,0,0,0,0,1,0
60383,0,0,1,0,0,0,0,0
215850,0,0,0,0,1,0,1,0
1839660,0,0,0,0,0,0,0,0
74290,0,0,0,0,0,0,0,1
76301,0,0,0,0,1,0,0,1
1233519,0,0,0,0,0,0,1,0
467413,0,1,0,0,0,0,0,0
250638,1,0,0,0,1,0,1,0
